,Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Eccentricity,Nucleus Compactness,Nucleus Texture Variance
1365,ABT-199,0.023724452,17007.0,0.708375329,1.182526783,0.7805499
1366,ABT-199,0.022852565,10111.0,0.694488957,1.186005618,0.393261181
1367,ABT-199,0.022434235,11520.0,0.677192029,1.189800972,0.514712397
1368,ABT-199,0.026820115,9932.0,0.569114161,1.233546039,5.559112594
1369,ABT-199,0.024393779,13900.0,0.622282938,1.215193278,0.644933365
1371,ABT-199,0.013292605,11265.0,0.695229506,1.202690385,0.237267903
1372,ABT-199,0.01642844,8913.0,0.779109129,2.134072274,0.358488715
1373,ABT-199,0.021801423,12360.0,0.690630993,1.203627668,0.553094366
1374,ABT-199,0.016686523,8863.0,0.610184699,1.328617594,0.247879038
1375,ABT-199,0.020665964,15118.0,0.691866256,1.415439175,0.745516766
1376,ABT-199,0.018713481,15356.0,0.659544168,1.185110806,0.469697182
1377,ABT-199,0.021101125,14278.0,0.400815136,1.118767685,0.702477019
1378,ABT-199,0.018533695,10345.0,0.76439545,1.190878377,0.398691076
1379,ABT-199,0.018871603,15240.0,0.506546837,1.150940844,0.514568214
1380,ABT-199,0.020085201,14688.0,0.725388979,1.22491358,0.715047567
1381,ABT-199,0.026642382,15781.0,0.443953011,1.534114903,3.124348281
1382,ABT-199,0.017642041,15017.0,0.702616842,1.185377358,0.45578613
1383,ABT-199,0.021556931,20202.0,0.691564826,1.183853782,0.972386952
1384,ABT-199,0.021027503,20766.0,0.566162663,1.497042462,0.730470818
1385,ABT-199,0.022280784,14746.0,0.378629711,1.138454345,0.867025219
1386,ABT-199,0.017251725,14687.0,0.535577637,1.170640447,0.387941887
1387,ABT-199,0.021378834,16039.0,0.625522217,1.18778838,0.623481013
1388,ABT-199,0.021962355,20950.0,0.766295805,1.208584386,0.693860724
1389,ABT-199,0.020953479,14695.0,0.643021859,1.185216381,0.872494299
1390,ABT-199,0.022254097,20586.0,0.358324365,1.407957812,1.330091667
1391,ABT-199,0.02203672,11306.0,0.627160633,1.17044748,0.453019646
1392,ABT-199,0.023445656,19273.0,0.500588542,1.151150641,0.829246071
1393,ABT-199,0.023133727,11979.0,0.614471682,1.27744457,0.577036429
1394,ABT-199,0.020263528,14884.0,0.530407862,1.272355314,0.510533946
1395,ABT-199,0.022667428,10244.0,0.362342104,1.122262306,0.606458562
1396,ABT-199,0.028936883,14510.0,0.460882753,1.117018416,1.241565294
1397,ABT-199,0.021179235,16699.0,0.57944338,1.188232689,0.986436667
1398,ABT-199,0.022597388,8478.0,0.66021357,1.227060194,0.501409578
1399,ABT-199,0.02413512,12276.0,0.675998431,1.188755624,0.63433649
1400,ABT-199,0.017245675,18064.0,0.568917732,1.148783267,0.457621469
1401,ABT-199,0.025760114,13883.0,0.509973065,1.144589322,0.651564263
1402,ABT-199,0.020521156,21163.0,0.68639869,1.191030139,0.619769179
1403,ABT-199,0.025256144,10498.0,0.711533654,1.273918603,0.604593331
1404,ABT-199,0.024066595,19166.0,0.611471168,1.152081825,0.42311053
1405,ABT-199,0.027001996,9816.0,0.701318332,1.166095702,1.083149079
1406,ABT-199,0.022683899,10164.0,0.635784686,1.194361749,0.491006286
1407,ABT-199,0.018901512,15665.0,0.555657114,1.176499414,0.590978373
1408,ABT-199,0.027020899,13622.0,0.611068542,1.216724725,1.06201155
1409,ABT-199,0.024440404,9637.0,0.72067312,1.187125619,0.60194601
1410,ABT-199,0.020031748,11435.0,0.816673687,1.26275009,0.512321139
1411,ABT-199,0.023862715,18095.0,0.614166372,2.420228901,0.918202907
1412,ABT-199,0.01606922,14759.0,0.281751922,1.129671012,0.398301128
1413,ABT-199,0.01959672,11422.0,0.612848937,1.357696337,0.23687257
1414,ABT-199,0.018018518,12109.0,0.760573624,1.26175316,0.357417931
1415,ABT-199,0.020136036,11877.0,0.7209215,1.332351317,0.289084445
1416,ABT-199,0.024299352,19402.0,0.514585173,1.153487173,1.039971378
1417,ABT-199,0.01747214,12484.0,0.484262067,1.223058189,0.383267497
1418,ABT-199,0.024891981,12007.0,0.652215262,1.203494174,0.701964711
1419,ABT-199,0.020076543,23208.0,0.791317094,1.42743036,0.608773639
1420,ABT-199,0.024022317,11605.0,0.62151945,1.17499801,0.455414251
1421,ABT-199,0.016755445,11226.0,0.830657935,1.646398144,0.191294359
1422,ABT-199,0.012737021,8924.0,0.907017436,1.677660422,0.148401134
1423,ABT-199,0.016301346,10388.0,0.51889152,1.618062625,0.281672205
1424,ABT-199,0.015385479,10888.0,0.526501338,1.141277386,0.20460296
1425,ABT-199,0.014198024,9895.0,0.390978554,1.131049621,0.266918684
1426,ABT-199,0.023325177,19528.0,0.594373402,1.141853507,0.850369372
1427,ABT-199,0.023776393,8575.0,0.612265616,1.276081419,2.264718303
1428,ABT-199,0.016786168,15175.0,0.746726409,1.220706874,0.647465075
1429,ABT-199,0.015109581,11988.0,0.526301775,1.240977476,0.247354169
1430,ABT-199,0.015293158,15048.0,0.529858452,1.19022911,0.346389954
1431,ABT-199,0.0206921,16839.0,0.459488893,1.25576942,1.317987888
1432,ABT-199,0.019196235,12895.0,0.623841125,1.189328892,0.861891791
1433,ABT-199,0.020701924,12722.0,0.516821604,1.181540996,1.509702116
1434,ABT-199,0.021284789,14815.0,0.280170278,1.27543108,1.730975165
1435,ABT-199,0.019848079,13765.0,0.417126123,1.115179348,0.969340663
1436,ABT-199,0.018966017,9813.0,0.838676088,1.312954316,1.215201814
1437,ABT-199,0.015911459,14146.0,0.400860123,1.129207197,0.297143348
1438,ABT-199,0.020017922,21806.0,0.553703774,1.180860309,1.206975101
1439,ABT-199,0.021659371,16352.0,0.484513437,1.160714816,1.704224073
1440,ABT-199,0.019422248,23050.0,0.352042781,1.268073994,1.806158345
1442,ABT-199,0.017815143,17609.0,0.404768076,1.123091288,0.80730506
1443,ABT-199,0.019551012,20128.0,0.749445542,1.25902378,0.853034696
1444,ABT-199,0.019566845,18803.0,0.633031768,1.135472591,1.190718151
1445,ABT-199,0.021312257,22843.0,0.62276722,1.187317277,1.355514201
1447,ABT-199,0.018850487,24824.0,0.435656748,1.125525852,0.896816881
1448,ABT-199,0.016518872,13881.0,0.614641719,1.138759495,0.399718479
1449,ABT-199,0.019521924,27144.0,0.563925037,1.433257694,0.978728977
1450,ABT-199,0.02375548,17803.0,0.649920345,1.144784007,0.942625787
1451,ABT-199,0.014635742,13534.0,0.613872264,1.425943261,0.31059302
1452,ABT-199,0.020075465,12037.0,0.64153634,1.157971017,0.519244013
1453,ABT-199,0.020916027,14157.0,0.585215715,1.154740599,0.95340329
1454,ABT-199,0.027088246,17149.0,0.704538352,1.208173073,1.577114672
1455,ABT-199,0.023700502,24292.0,0.685739646,1.154956884,1.178445239
1456,ABT-199,0.024977009,14152.0,0.686300737,1.23016338,1.56153702
1457,ABT-199,0.024485273,10259.0,0.723362541,1.199634706,1.229711899
1458,ABT-199,0.020952634,10340.0,0.775698155,1.286897088,0.613396161
1459,ABT-199,0.021455587,12700.0,0.667538738,1.150910285,1.196437599
1460,ABT-199,0.025573533,16292.0,0.734894387,1.304258293,1.624681827
1461,ABT-199,0.023468412,14758.0,0.449113496,1.10869806,0.839856984
1462,ABT-199,0.017640119,15810.0,0.681000943,1.160727419,0.363652336
1463,ABT-199,0.020864813,11526.0,0.857685372,1.497545322,0.80770149
1464,ABT-199,0.020541221,16170.0,0.769306251,1.217787616,0.759776209
1465,ABT-199,0.023589073,16481.0,0.671132214,1.179141085,1.135707776
1466,ABT-199,0.018378866,10484.0,0.795745445,1.234963507,0.374001861
1467,ABT-199,0.025667817,19942.0,0.704947168,1.186251873,1.151857651
1468,ABT-199,0.022689657,17240.0,0.715592365,1.297445659,1.818237642
1469,ABT-199,0.023173703,21453.0,0.695245531,1.163078411,0.996375202
1470,ABT-199,0.019420196,17197.0,0.783559638,1.245004458,0.293650696
1471,ABT-199,0.016508724,13135.0,0.684978289,1.300112814,0.339258483
1472,ABT-199,0.017800515,14039.0,0.401789693,1.20032122,0.414762367
1473,ABT-199,0.020189437,14291.0,0.708527741,1.268043153,1.210514891
1474,ABT-199,0.014408334,11025.0,0.871001158,1.849313883,0.25128918
1475,ABT-199,0.01771581,12823.0,0.736015802,1.213121944,0.376490461
1476,ABT-199,0.019395245,19586.0,0.586614448,1.148753206,0.539814585
1477,ABT-199,0.011618463,13165.0,0.495378586,1.341361982,0.091380938
1478,ABT-199,0.018945162,22916.0,0.64818893,1.152339913,0.651437914
1479,ABT-199,0.016744345,14521.0,0.807009795,1.292420231,0.363905473
1480,ABT-199,0.014541666,13740.0,0.73155144,1.244708189,0.37427143
1481,ABT-199,0.015875074,17414.0,0.589341433,1.146749601,0.579284991
1482,ABT-199,0.015944791,18803.0,0.598311867,1.128220071,0.305970736
1483,A13318152,0.009812474,17975.0,0.840373146,1.743829745,1.043093914
1484,A13318152,0.008016058,8575.0,0.616204141,1.231555188,0.071939042
1485,A13318152,0.011143794,17701.0,0.46239436,1.120519237,0.08931371
1486,A13318152,0.010048568,14777.0,0.86011937,1.552022406,0.268947315
1487,A13318152,0.009520352,13401.0,0.475859963,1.233842504,0.263655031
1488,A13318152,0.009772128,15618.0,0.879807581,1.846878705,0.250127906
1489,A13318152,0.010820877,14465.0,0.720590298,1.350631522,0.167649708
1490,A13318152,0.011304116,20670.0,0.738558217,1.206344782,0.1353194
1491,A13318152,0.012023675,11003.0,0.807421214,1.391923714,0.162858658
1492,A13318152,0.019759642,17227.0,0.329165718,1.129377642,2.301001061
1493,A13318152,0.011812654,12190.0,0.795246448,1.240000064,0.173201125
1494,A13318152,0.023723982,18730.0,0.261360465,1.141851599,3.208454977
1495,A13318152,0.012574382,13762.0,0.704899782,1.177423972,0.149700764
1496,A13318152,0.011715862,8896.0,0.787579571,1.367000094,0.118899168
1497,A13318152,0.011081977,13065.0,0.654284388,1.153845791,0.146003773
1498,A13318152,0.011058934,22794.0,0.847243859,1.645606286,0.459507799
1499,A13318152,0.011595255,10715.0,0.816092624,1.261812363,0.153403339
1500,A13318152,0.012053341,19364.0,0.757098064,1.806030716,0.544625932
1501,A13318152,0.011028258,16842.0,0.567124481,1.209624474,0.16443085
1502,A13318152,0.012241002,16919.0,0.690285274,1.23801014,0.247411433
1503,A13318152,0.009492353,13471.0,0.673984061,1.282429673,0.227444944
1504,A13318152,0.010374817,13218.0,0.633949006,1.155891134,0.253156886
1505,A13318152,0.011207629,16764.0,0.62206866,1.498227024,0.457667003
1506,A13318152,0.009991351,13011.0,0.639999734,1.179963223,0.246454955
1507,A13318152,0.01228739,9649.0,0.350501187,1.524379442,0.16005036
1508,A13318152,0.009384739,13057.0,0.768606333,1.28370326,0.219405019
1509,A13318152,0.009757645,16047.0,0.722225269,1.178683486,0.249690607
1510,A13318152,0.009006064,23462.0,0.426457255,1.191100769,0.202968169
1511,A13318152,0.011892846,11282.0,0.760513753,1.177128585,0.129807599
1512,A13318152,0.010773827,12957.0,0.560347344,1.614369562,0.201170771
1513,A13318152,0.010695412,9777.0,0.750630069,1.21659807,0.110564752
1514,A13318152,0.01019633,9206.0,0.764082887,1.615773662,0.222888217
1515,A13318152,0.009234074,8926.0,0.529470869,1.29951059,0.202478661
1516,A13318152,0.009249127,10113.0,0.691174831,1.573191894,0.203231275
1517,A13318152,0.009285803,16640.0,0.644781166,1.426062225,0.221238247
1518,A13318152,0.01259666,9251.0,0.77917329,1.318485117,0.183480823
1519,A13318152,0.011066036,16861.0,0.818550521,3.00843996,0.362556478
1520,A13318152,0.010050738,21385.0,0.560237003,1.614455915,0.262669416
1521,A13318152,0.010739785,8200.0,0.827136741,1.596880037,0.383026841
1522,A13318152,0.012888511,13194.0,0.789309769,1.246215391,0.210561503
1523,A13318152,0.014726953,11836.0,0.603025652,1.140634221,0.406452109
1524,A13318152,0.015417274,16924.0,0.855623268,1.362788762,0.57049969
1525,A13318152,0.017130754,12391.0,0.760892446,1.244084094,0.491592168
1526,A13318152,0.017556705,24261.0,0.696243414,1.246488667,0.897800074
1527,A13318152,0.016666239,19382.0,0.742435814,1.380083899,0.719939507
1528,A13318152,0.017080634,22994.0,0.733023381,1.21088354,0.912461526
1529,A13318152,0.014997295,13392.0,0.762980662,1.348138999,0.49591569
1531,A13318152,0.018686084,13721.0,0.519702289,1.185064061,0.63355723
1532,A13318152,0.013993429,14068.0,0.826003314,1.303684879,0.537244973
