Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Eccentricity,Nucleus Compactness,Nucleus Texture Variance
control,0.016435931,12227,0.712244168,1.223890099,0.273701047
control,0.016681173,20295,0.620386646,1.181127781,0.411840114
control,0.014789773,20982,0.876631034,2.649680203,0.506210957
control,0.014908571,10402,0.826178723,1.312160936,0.194801594
control,0.017914926,16494,0.597747805,1.150444573,0.328663668
control,0.019203212,14623,0.741480659,1.236428916,0.520202588
control,0.01414947,14109,0.583203807,1.19310678,0.269196332
control,0.014991202,11817,0.805383686,4.858965996,0.218330156
control,0.014905472,9276,0.373973621,1.150388449,0.242577005
control,0.015804333,14792,0.512561141,1.184573603,0.282325312
control,0.017998057,11433,0.824448473,1.437267964,0.484859437
control,0.017930161,11472,0.559016591,1.195018927,0.312799109
control,0.017811563,14286,0.453397736,1.125922965,0.317372098
control,0.017080846,10428,0.813987219,1.284878608,0.305506079
control,0.015090899,17931,0.505385351,1.418003851,0.447317183
control,0.015660658,14658,0.690988243,1.461591249,0.322020905
control,0.017371467,12655,0.554485802,1.165807887,0.264198843
control,0.017441463,11351,0.7032149,1.191934234,0.314171748
control,0.017514514,9677,0.59941783,1.186502182,0.284093309
control,0.017717174,11152,0.487335456,1.12694336,0.322087973
control,0.015385618,9071,0.747501461,1.271295172,0.179543467
control,0.016704075,10008,0.706571472,1.194235323,0.245779888
control,0.014486698,8148,0.567520093,1.17045612,0.184637063
control,0.014829405,11557,0.651985846,1.184605424,0.230463595
control,0.015654171,21471,0.597113268,1.152813468,0.251958333
control,0.017369084,8873,0.683311601,1.238463006,0.258554797
control,0.014981093,12700,0.274892931,1.147989555,0.245534683
control,0.019464414,12544,0.808212104,1.328321229,0.321959624
control,0.020022378,25020,0.587473305,3.875670316,0.717287895
control,0.018416908,9885,0.683491779,1.567077868,0.679498561
control,0.015960517,10641,0.745974724,1.346398506,0.231157622
control,0.015034074,9889,0.628129868,1.605125052,0.162534976
control,0.017268236,22434,0.649757895,1.148209853,0.408743179
control,0.016870533,16364,0.642042236,1.161214295,0.276575822
control,0.01685763,11409,0.642771876,2.112579112,0.292269262
control,0.015007287,16078,0.656926217,1.189898423,0.294178682
control,0.017280942,14450,0.662617724,1.157080352,0.32132088
control,0.017633765,9003,0.742026169,1.339614197,0.281118035
control,0.015419997,10723,0.753181643,1.200434115,0.15112719
control,0.015229135,18776,0.895682032,2.179939181,0.198199893
control,0.01584703,13327,0.645425408,1.261783362,0.107612491
control,0.016252035,8752,0.788724417,1.310228239,0.170052581
control,0.014779278,10875,0.776858603,2.676094417,0.187278573
control,0.016551975,17984,0.870730892,2.6235469,0.184677059
control,0.016946384,10381,0.731498556,1.560900558,0.221611142
control,0.01526835,9825,0.910022212,2.881265172,0.182058519
control,0.016666026,13657,0.630386938,1.156177336,0.291916511
control,0.016174308,14153,0.876672942,2.720163194,0.349673044
control,0.015085082,9642,0.794391504,1.81485086,0.116683552
control,0.014815369,14306,0.687198733,1.197233187,0.296640286
control,0.01508002,10467,0.356345267,1.224770316,0.198604875
control,0.01489197,8434,0.579530426,1.539376104,0.191773786
control,0.015294927,8359,0.48145743,1.39359754,0.31864199
control,0.016026835,12529,0.703267371,2.678240119,0.36709574
control,0.014274546,9563,0.785804447,1.247058543,0.204482042
control,0.013252282,9506,0.634658623,1.421886961,0.256977575
control,0.009159463,13758,0.73030408,1.407212691,0.336073177
control,0.012258858,14172,0.688764505,1.189791213,0.274062376
control,0.011469481,14797,0.785651255,1.259980333,0.151843302
control,0.012293258,18939,0.58554257,1.480396011,0.311628001
control,0.012058651,16468,0.805036945,1.297716872,0.270021722
control,0.010752455,15464,0.409027819,1.125793595,0.240641072
control,0.011695668,15820,0.613944945,1.325785206,0.295827067
control,0.014080071,22188,0.765725382,1.454306828,0.458589718
control,0.014015421,31092,0.694446877,1.385972589,0.388983657
control,0.011206629,9643,0.628052595,1.149136352,0.17078813
control,0.014046472,24847,0.851980876,1.542260462,0.332032544
control,0.011233258,10415,0.839265665,1.380219753,0.076281315
control,0.010989345,15136,0.632645084,1.212921694,0.125608
control,0.010858704,20867,0.724123704,1.205590307,0.204551821
control,0.011024884,10059,0.459784885,1.213016647,0.188744311
control,0.013670365,20364,0.689867036,1.500748572,0.336233676
control,0.012303988,22587,0.893684519,2.500971072,0.245486367
control,0.011979551,9566,0.790849733,1.336849361,0.144613949
control,0.010280535,11707,0.748420522,1.397201465,0.222847748
control,0.010131865,12949,0.537071459,1.195730025,0.230828564
control,0.012469932,22058,0.639425305,1.157602177,0.202684542
control,0.013044042,14237,0.734619842,1.232024897,0.239658631
control,0.012854074,13699,0.615970836,1.182093761,0.228634178
control,0.012553334,14432,0.693067476,1.190507737,0.19706541
control,0.011271531,11771,0.582541106,1.46395364,0.096245316
control,0.012111507,17546,0.739919521,1.631714444,0.146196078
control,0.016944464,24829,0.668674013,1.17383877,0.441540092
control,0.01355257,15509,0.553668952,1.125823602,0.367403196
control,0.018542745,23990,0.421337867,1.339522986,2.726451686
control,0.013228133,25980,0.885711753,1.451651268,0.316151789
control,0.01291775,13055,0.368891325,1.187643263,0.526727666
control,0.015203434,14899,0.42987516,1.161723928,0.331043456
control,0.014368875,20735,0.669949579,1.22060637,0.369560182
control,0.014411526,11037,0.503124141,1.156933141,0.408441127
control,0.010988092,23961,0.459658721,1.14658264,0.132429552
control,0.015096385,9603,0.705604895,1.20826921,0.290104788
control,0.015219422,22817,0.526271958,1.129101531,0.29595102
control,0.015530399,11918,0.686565825,1.206630424,0.381585841
control,0.011843894,13069,0.76874615,1.43982656,0.106674319
control,0.013123198,10764,0.688473487,1.177075526,0.218871694
control,0.011198541,19309,0.714185158,1.578548396,0.146729298
control,0.013598522,13899,0.745623403,1.3516075,0.273248745
control,0.012969692,13135,0.484966353,1.120891653,0.278231205
control,0.011994648,13531,0.764152486,1.361242953,0.277702257
control,0.014770349,19913,0.617785975,1.155710984,0.338461288
control,0.014192944,21886,0.579987724,1.150862151,0.315731641
control,0.009493777,8772,0.687015693,1.467773626,0.407636675
control,0.012088829,19641,0.734603431,1.21677506,0.218694793
control,0.012767044,12669,0.897254669,2.061192649,0.967606606
control,0.01198497,11788,0.82664804,1.592335592,0.210067914
control,0.012224901,14930,0.876321335,1.441090774,0.228529384
control,0.012196124,14525,0.673863922,1.18586957,0.327198997
control,0.013835548,16249,0.684355384,1.279026708,0.607862922
control,0.045446668,13207,0.86949468,26.92155194,1.369957547
control,0.014113198,17106,0.766981186,1.578457459,0.236436614
control,0.015145412,10453,0.534814878,1.393183061,0.108920364
control,0.014709701,12208,0.569634587,1.311546471,0.18054226
control,0.016282715,8082,0.803017067,1.328378008,0.307543131
control,0.015518441,11532,0.703578035,1.192974775,0.133205042
control,0.015121693,20389,0.874931746,1.797967577,0.15686484
control,0.015572779,11589,0.763023705,1.659581235,0.22283918
control,0.015249102,18127,0.730176114,1.97747818,0.173209279
control,0.014484786,10504,0.806783169,1.426516587,0.202735857
control,0.017794658,11736,0.750481313,1.199621747,0.354610975
control,0.016188934,14401,0.626024946,1.243703052,0.178192837
control,0.017924459,12397,0.658429431,1.453773384,0.429671806
control,0.012222823,14085,0.720879843,1.184552878,0.156510248
control,0.016231946,12396,0.561682969,1.174257864,0.188075798
control,0.015956219,10085,0.474656961,1.164684783,0.223250055
control,0.016892932,9195,0.74880124,1.409079251,0.400566025
