Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Roundness,Nucleus Texture Variance,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
control,0.028100213,18806,0.728274129,1.546584563,1.590708971,1.539804642,1.549921647,1.505902991
control,0.021009628,16107,0.817240158,0.400787401,0.402829791,0.397812064,0.400869304,0.401638444
control,0.029502048,19775,0.551946868,1.204563154,1.238428303,1.176169222,1.215267345,1.188387745
control,0.014342021,15255,0.823879441,0.241437014,0.242441402,0.241666711,0.24226185,0.239378092
control,0.022151393,21652,0.686610305,0.621434472,0.624365305,0.620159095,0.625492641,0.615720847
control,0.023140542,18457,0.810989929,0.846344447,0.866348826,0.839941926,0.839564298,0.839522736
control,0.029327768,13486,0.656691485,1.66421728,1.670516945,1.626141454,1.702420812,1.657789908
control,0.02452722,13956,0.654941363,0.810152528,0.81257329,0.805672534,0.810731423,0.811632866
control,0.019049937,14367,0.710636343,0.387347265,0.38891858,0.385526708,0.387759621,0.387184153
control,0.022209694,19952,0.657113682,0.498904139,0.503632281,0.50375507,0.498774418,0.489454789
control,0.028484162,16343,0.82418027,0.559941278,0.564375233,0.560871581,0.558107665,0.556410632
control,0.01700769,14744,0.47562471,0.233955352,0.232958596,0.234637337,0.23361017,0.234615306
control,0.019794561,12609,0.522340552,0.303770433,0.302507879,0.307187841,0.303284575,0.302101437
control,0.030053981,21996,0.356113816,1.317894275,1.324345573,1.316009136,1.322563384,1.308659007
control,0.028502479,15659,0.536307852,0.570910246,0.574693169,0.568200226,0.572161236,0.568586353
control,0.027626161,18485,0.747089954,1.05074929,1.068732719,1.047803697,1.055334021,1.031126722
control,0.040129001,17889,0.617776519,3.655081018,3.651026947,3.61689297,3.734711521,3.617692634
control,0.034537283,21399,0.464092044,1.232029765,1.246645253,1.231463347,1.233307331,1.216703128
control,0.030350249,21118,0.379923122,2.12409754,2.150178553,2.111803359,2.145806186,2.088602061
control,0.036189206,21894,0.635716316,5.709712521,5.706783441,5.697793742,5.725938483,5.708334415
control,0.020339704,12799,0.649982046,0.215870552,0.215630777,0.216954191,0.214779187,0.216118054
control,0.034159381,17688,0.463088732,4.9849514,4.984958303,4.959890899,5.00962986,4.985326539
control,0.038065174,12497,0.653620014,1.628091464,1.655096477,1.62190388,1.632097531,1.60326797
control,0.04497069,23064,0.631874158,5.093617193,5.10885079,4.955978462,5.196223374,5.113416146
control,0.029155439,16061,0.736348847,0.974686144,0.973396972,0.982377744,0.98033293,0.962636928
control,0.038512127,19413,0.495200326,3.543504124,3.55707995,3.527535982,3.587044976,3.502355587
control,0.034796449,11524,0.772666556,1.047239889,1.047853117,1.053480143,1.049134818,1.038491476
control,0.031832938,14323,0.59959193,0.739417768,0.741773051,0.734829048,0.740891246,0.740177728
control,0.028580649,21483,0.740201551,1.633451604,1.633286964,1.636404181,1.641161683,1.622953589
control,0.030987476,12734,0.789536403,0.970707413,0.970908218,0.976540477,0.968378719,0.967002236
control,0.019056666,13981,0.912068421,0.347050888,0.347253556,0.348285607,0.347985531,0.344678858
control,0.033856325,19891,0.675334213,2.168392852,2.17371107,2.184632839,2.224507288,2.09072021
control,0.021062205,18196,0.434782457,0.487521761,0.489027897,0.486296094,0.488192192,0.486570862
control,0.029330237,14808,0.252555808,1.160811855,1.162304537,1.159406422,1.164863516,1.156672943
control,0.062260175,19462,0.82440239,12.5969198,12.56973475,12.64941287,12.62704805,12.54148354
control,0.038169641,13599,0.432083161,0.599224903,0.598055095,0.600043789,0.598352539,0.60044819
control,0.035829381,15258,0.791922011,0.505955902,0.505082442,0.504707511,0.510269488,0.503764169
